SITE,FD,SU,GSL,R10MM,R20MM,RX5DAY,SDII,DROUGHTLEN
5_47_9_49,70.45161290322581,152.67741935483872,321.2903225806452,50.87096774193548,20.774193548387096,127.57516129032261,11.675897963791058,24.161290322580644
1_51_101_44,76,146.32258064516128,321.03225806451616,44.354838709677416,17.258064516129032,120.03516129032258,11.444020716756146,28.29032258064516
1_51_41_80,89.48387096774194,143.16129032258064,312.3225806451613,41.67741935483871,16.032258064516128,118.17387096774193,11.241217622440987,29.806451612903224
1_51_93_61,53.83870967741935,147.48387096774192,335.4193548387097,43.41935483870968,17.64516129032258,154.0448387096774,11.814808950068125,25.548387096774192
1_51_97_55,75.54838709677419,143.2258064516129,321.1290322580645,44,16.838709677419356,124.45096774193546,11.569153839878753,29
1_51_99_33,81.83870967741936,134.61290322580646,308.96774193548384,44.41935483870968,16.774193548387096,127.58032258064516,11.489465704679104,29.677419354838708
2_51_141_35,98.61290322580645,132.1290322580645,305.258064516129,41.03225806451613,17.70967741935484,127.41129032258064,11.471440461843262,28.870967741935484
2_51_143_160,98.90322580645162,137.83870967741936,310.2903225806452,45.193548387096776,16.516129032258064,118.35290322580644,11.339584420817243,28.838709677419356
2_51_143_42,97.61290322580645,136.90322580645162,308.19354838709677,42.87096774193548,15.806451612903226,114.3267741935484,11.097330559070395,29.29032258064516
2_51_147_7,93.96774193548387,140.1290322580645,311.2258064516129,41.61290322580645,15.290322580645162,111.08806451612904,11.546563707913048,32.354838709677416
2_51_19_2,94.45161290322581,135.2258064516129,302.8709677419355,41.483870967741936,15.32258064516129,115.25903225806451,10.77997822758606,31.70967741935484
2_51_19_38,101.58064516129032,121.48387096774194,292.741935483871,46.903225806451616,17.387096774193548,119.8041935483871,11.586379157317312,28.516129032258064
2_51_31_27,95.19354838709677,136.80645161290323,308.06451612903226,41.193548387096776,15.193548387096774,113.36483870967741,11.263001567573113,30.225806451612904
2_51_31_86,96.19354838709677,134,307.1290322580645,42.32258064516129,15.741935483870968,113.94516129032257,11.077827596658986,29.258064516129032
2_51_67_65,93.93548387096774,134.32258064516128,304.80645161290323,40.645161290322584,15.709677419354838,127.56290322580645,10.67789456394858,30.35483870967742
2_51_7_55,92.64516129032258,142.74193548387098,312.61290322580646,40.61290322580645,16.161290322580644,108.5732258064516,11.060325630395553,29.838709677419356
2_51_83_122,89.83870967741936,147.83870967741936,321.2258064516129,43.96774193548387,15.580645161290322,118.64225806451614,11.206381732097464,30.741935483870968
2_51_89_3,96.2258064516129,140.74193548387098,313.1290322580645,43.225806451612904,17.096774193548388,124.91193548387095,11.242069282542989,29.258064516129032
2_51_89_68,100.80645161290323,129.1290322580645,306.258064516129,47.516129032258064,17.451612903225808,124.71193548387097,11.699053018148689,28.451612903225808
3_51_109_88,93.54838709677419,138.03225806451613,303.51612903225805,41.67741935483871,14.935483870967742,112.5316129032258,10.895849459132576,31.193548387096776
3_51_113_12,100.12903225806451,126.38709677419355,292.2258064516129,41.516129032258064,16.612903225806452,115.31580645161291,11.199133949558762,30.161290322580644
3_51_125_43,98.25806451612904,130,299.5483870967742,43.45161290322581,17.483870967741936,110.88096774193546,12.385945338401331,29.29032258064516
3_51_125_46,123,106.48387096774194,273.83870967741933,52.67741935483871,23.032258064516128,132.29741935483872,13.77489400653866,26.903225806451612
3_51_125_54,96.35483870967742,133.70967741935485,302.4193548387097,41.67741935483871,16.70967741935484,109.02612903225808,12.545358037963146,32.193548387096776
3_51_125_69,100.93548387096774,124.09677419354838,294.03225806451616,46.41935483870968,18.64516129032258,114.97774193548388,12.85984876153699,28.838709677419356
3_51_137_35,94.54838709677419,132.2258064516129,298.1290322580645,41.45161290322581,15.903225806451612,110.94483870967746,11.11449105288014,30.838709677419356
3_51_157_47,110.80645161290323,107.06451612903226,275.4516129032258,45.064516129032256,16.967741935483872,119.66870967741936,11.369870458686071,28.903225806451612
3_51_179_2,86.29032258064517,132.48387096774192,299.96774193548384,41.58064516129032,14.903225806451612,117.09741935483869,10.687004284946653,29.93548387096774
3_51_3_7,115.03225806451613,101.19354838709677,267.741935483871,48.74193548387097,18.70967741935484,129.43387096774194,12.203660867531687,28.193548387096776
